loss,epoch,time,accuracy,f1_score,split
0.39301762297397724,0,455.23968982696533,0.8227848101265823,0.8227848101265823,train
0.37691219449592317,1,450.0437285900116,0.8379746835443038,0.8379746835443038,train
0.37402608113792185,2,456.67405009269714,0.8455696202531645,0.8455696202531645,train
0.3676624786901146,3,453.79096245765686,0.830379746835443,0.830379746835443,train
0.3352893250360235,4,435.8265845775604,0.8405063291139241,0.8405063291139241,train
0.35155619750425654,5,439.1045870780945,0.8354430379746836,0.8354430379746836,train
0.37420395860284095,6,436.2255036830902,0.8202531645569621,0.8202531645569621,train
0.3473834204180643,7,433.7506191730499,0.8607594936708861,0.8607594936708861,train
0.33775353768159094,8,438.413938999176,0.8455696202531645,0.8455696202531645,train
0.31797144637444136,9,437.62505626678467,0.8607594936708861,0.8607594936708861,train
0.7353008419887723,0,56.34918785095215,0.7076923076923077,0.7076923076923077,val
0.8230156343549915,1,57.45081615447998,0.7076923076923077,0.7076923076923077,val
1.0685243256138686,2,57.52649664878845,0.6923076923076923,0.6923076923076923,val
0.8385521139918497,3,58.790146350860596,0.676923076923077,0.676923076923077,val
0.7476827752907691,4,58.0684597492218,0.676923076923077,0.676923076923077,val
0.7362061860412968,5,58.79495286941528,0.6923076923076923,0.6923076923076923,val
1.0895317822876254,6,55.31202816963196,0.676923076923077,0.676923076923077,val
0.8251940389634036,7,55.70428276062012,0.6923076923076923,0.6923076923076923,val
0.8327093565462322,8,56.23126006126404,0.7230769230769231,0.7230769230769231,val
0.8969226190647043,9,55.93980813026428,0.6923076923076923,0.6923076923076923,val
