loss,epoch,time,accuracy,split
1.4033135014621518,0,59.34948682785034,0.7772151898734178,train
1.395696907254714,1,58.91886925697327,0.7670886075949367,train
1.3974772594397582,2,58.73974561691284,0.7721518987341772,train
1.3892334412170362,3,58.67944121360779,0.769620253164557,train
1.380721982370449,4,58.97034049034119,0.7746835443037975,train
1.3746246910547908,5,58.53538727760315,0.7670886075949367,train
1.3851591038553022,6,58.93445348739624,0.769620253164557,train
1.4001771339132816,7,58.86531925201416,0.7620253164556962,train
1.3827738394842872,8,58.91291069984436,0.7569620253164557,train
1.3939786394562903,9,58.694188833236694,0.7670886075949367,train
1.6479375885083125,0,6.688640832901001,0.7384615384615385,val
1.647936704984078,1,6.6425697803497314,0.7384615384615385,val
1.647936704984078,2,6.693132162094116,0.7384615384615385,val
1.647936704984078,3,6.6334521770477295,0.7384615384615385,val
1.647936704984078,4,6.60044002532959,0.7384615384615385,val
1.647936704984078,5,6.638840675354004,0.7384615384615385,val
1.647936704984078,6,6.644043684005737,0.7384615384615385,val
1.647936704984078,7,6.674712181091309,0.7384615384615385,val
1.647936704984078,8,6.531533718109131,0.7384615384615385,val
1.647936704984078,9,6.624680757522583,0.7384615384615385,val
