loss,epoch,accuracy,f1_score,split
0.688975709191482,0,0.7069779388984228,0.6899270881282111,train
0.6428790203368608,1,0.7304339016202591,0.7142660674308577,train
0.641113053898566,2,0.7312734938139374,0.7152905951721877,train
0.6454396547660941,3,0.7287512554654053,0.7128462215310417,train
0.6447750590341066,4,0.7294193751503428,0.7134557021710272,train
0.7619640852776042,0,0.6681143818213652,0.5665631521576997,val
0.8662985864348695,1,0.6374370772658194,0.565483783834551,val
0.8344755716362857,2,0.647396570700078,0.5661381695777604,val
0.8504018258219603,3,0.6411337895139838,0.5662457386530738,val
0.8194042948857407,4,0.6495841199147433,0.5700420790289077,val
