loss,epoch,accuracy,f1_score,split
0.9493493632557938,0,0.559424803187404,0.5091663021279553,train
0.8351090711336898,1,0.628901403540382,0.6024282060208774,train
0.8348962590556174,2,0.6281001214882196,0.6016045057096057,train
0.8370254227459523,3,0.6277987175777028,0.6015083386509832,train
0.8352237464187698,4,0.6280205010017309,0.6014031356232049,train
0.944314520295656,0,0.584658152486649,0.5233386282052974,val
0.9072827412794461,1,0.6011065557934268,0.5310238508968509,val
0.9013099329115667,2,0.6022986471652985,0.5350007533661427,val
0.9046813501902153,3,0.602487907087876,0.5308724906303156,val
0.8873650257329024,4,0.6088268837314442,0.5379658563858648,val
