loss,epoch,time,accuracy,f1_score,split
0.4290875352373271,0,855.9024984836578,0.7974683544303798,0.7974683544303798,train
0.49560010405281685,1,1053.1425411701202,0.8025316455696202,0.8025316455696202,train
0.4454316889583956,2,1059.5881562232971,0.8075949367088607,0.8075949367088607,train
0.4649418391264254,3,447.10231924057007,0.7949367088607595,0.7949367088607595,train
0.44887803102575935,4,446.1391499042511,0.7848101265822784,0.7848101265822784,train
0.4315924417117238,5,447.05738282203674,0.8126582278481013,0.8126582278481013,train
0.4609790961948101,6,445.6095492839813,0.8050632911392405,0.8050632911392405,train
0.43924458961634094,7,442.53580117225647,0.779746835443038,0.779746835443038,train
0.3796415675604524,8,440.969509601593,0.8329113924050633,0.8329113924050633,train
0.41585373695836125,9,447.2339882850647,0.8227848101265823,0.8227848101265823,train
0.7808819246774175,0,73.94296503067017,0.6923076923076923,0.6923076923076923,val
0.954111548906625,1,77.12312960624695,0.676923076923077,0.676923076923077,val
0.7045698944406048,2,59.37639546394348,0.7230769230769231,0.7230769230769231,val
0.6780063614883777,3,56.218974590301514,0.7384615384615385,0.7384615384615385,val
1.0360790170516965,4,56.6278817653656,0.676923076923077,0.676923076923077,val
1.1058331724296635,5,55.83466458320618,0.6615384615384615,0.6615384615384615,val
0.9058793175496318,6,55.67688059806824,0.676923076923077,0.676923076923077,val
1.0159736301172306,7,54.48143219947815,0.7230769230769231,0.7230769230769231,val
0.9687690340805366,8,56.220776081085205,0.676923076923077,0.676923076923077,val
1.1731563688528643,9,57.48633360862732,0.7230769230769231,0.7230769230769231,val
