loss,epoch,accuracy,f1_score,split
0.6538230826743462,0,0.7223523074672336,0.7074587254194162,train
0.6106372130219289,1,0.7427256882946063,0.7343663575782937,train
0.6079127419333671,2,0.7437935258660998,0.7351914782265914,train
0.609213804027864,3,0.7429327015434543,0.7345258385721256,train
0.6079808310956083,4,0.7434062703116332,0.7350091537984286,train
0.6078919770393504,5,0.7430238612167847,0.7344193939811989,train
0.6117329710605233,6,0.7411519721859977,0.732484741070624,train
0.6093732557401129,7,0.742502981731053,0.7338442785605308,train
0.6070790247571084,8,0.7436359003872915,0.7352396330113784,train
0.6069645400340747,9,0.7442989428220074,0.7357149846657264,train
0.8375102063385743,0,0.6172133082017333,0.5465966058411238,val
0.7518461606253876,1,0.6720765495105268,0.5795035470117089,val
0.7528600890212264,2,0.6737061507375206,0.5818402159555315,val
0.7515617085502679,3,0.6713293416612232,0.5793019363119558,val
0.7754422378686309,4,0.6609397121002337,0.5728303556061961,val
0.7603313176909838,5,0.6683355946482324,0.5763065578503599,val
0.759617445598107,6,0.6691540820954524,0.5764605430981377,val
0.7665170682841771,7,0.6671385873558575,0.5738126620315092,val
0.7414436745619237,8,0.6774643109863765,0.5811688430713974,val
0.752079299744409,9,0.6725410964103808,0.5780133622677536,val
