loss,epoch,accuracy,f1_score,split
0.7215660022151086,0,0.6854326369186517,0.6653252262707954,train
0.5970205682259734,1,0.750314789376409,0.7366293982335134,train
0.5963112800260476,2,0.7503438681570066,0.7363177106333768,train
0.5975684562723758,3,0.748544214519396,0.7348399193708524,train
0.5978817394526873,4,0.7494934291196859,0.7355264883528474,train
0.5955454476589707,5,0.7506023462398261,0.7369477368902684,train
0.5957522649209254,6,0.7498402974687047,0.7361034975943661,train
0.5945209130793581,7,0.7514181676822873,0.7377894320589606,train
0.5970421281175404,8,0.7498661452838535,0.735914055137865,train
0.5963422531253456,9,0.7498326816019558,0.7360046502036799,train
0.7462587481505544,0,0.6849683419570844,0.613001409544779,val
0.7836382935749241,1,0.6712801833094263,0.6035751301208644,val
0.7937696634626096,2,0.6662439043292726,0.6010189771896004,val
0.7866198327887521,3,0.6700168121568021,0.6035228646484133,val
0.7928780475764674,4,0.6664872385241503,0.6007755160453617,val
0.7772887937861718,5,0.6726689082713215,0.6056041092229035,val
0.7825059544576946,6,0.6702920993169149,0.602516408164077,val
0.8017063263978939,7,0.6645995556454961,0.5979554833566241,val
0.7519224209288147,8,0.6829405576904859,0.6121227271961532,val
0.7528835717276318,9,0.682429310246723,0.6129648714099681,val
