loss,epoch,accuracy,f1_score,split
0.7533631502391739,0,0.66750279709857,0.6464422919319659,train
0.6496300705051916,1,0.7250197089510396,0.709446189750541,train
0.6471612595834307,2,0.7260803922255468,0.7105775033731797,train
0.6482815082069091,3,0.7258613782086497,0.7103417194899051,train
0.648372049287488,4,0.725306111901495,0.7096137538746846,train
0.647005992499502,5,0.7265484221794638,0.7107569048676164,train
0.6455098817127825,6,0.7283709234287662,0.7127487144093909,train
0.6479344701940929,7,0.7252615705910732,0.709765628518139,train
0.6455930647670581,8,0.7266414281318447,0.7109333947072014,train
0.6475985048484693,9,0.7256402871278208,0.7097182297154964,train
0.8365836150807106,0,0.6538633593264777,0.5795327186706364,val
0.7908752572804628,1,0.6677456936953258,0.5901329638036482,val
0.8539177993567687,2,0.6457964645085403,0.5726197630715516,val
0.8204113538767419,3,0.6589930391506671,0.583969193733543,val
0.838032102048519,4,0.6541509360135942,0.577382119581987,val
0.8360544220070166,5,0.6526688099638817,0.580531740785864,val
0.8348626810105056,6,0.6538830226428182,0.5836008909046041,val
0.7934857224150426,7,0.6680627654178986,0.5912911278216629,val
0.8021353071818322,8,0.6673868373493476,0.5873938249176509,val
0.8257524780700544,9,0.6591036456250462,0.5838543789762173,val
