loss,epoch,time,accuracy,split
1.0212250760838955,0,2.8735392093658447,0.5088607594936709,train
0.9558356586890885,1,2.732147455215454,0.549367088607595,train
0.9214738029467908,2,2.6966021060943604,0.5822784810126582,train
0.8805006051365333,3,2.7154154777526855,0.6278481012658228,train
0.845985555422457,4,2.6485824584960938,0.6556962025316456,train
0.812556446315367,5,2.692810297012329,0.6632911392405063,train
0.7674415045146701,6,2.703965187072754,0.6936708860759494,train
0.7271226498522336,7,2.6902098655700684,0.7063291139240506,train
0.6895796856359591,8,2.701270818710327,0.7316455696202532,train
0.6632720132040072,9,2.679385185241699,0.7417721518987341,train
0.6302127198893812,10,2.7130446434020996,0.7493670886075949,train
0.5939398455657536,11,2.715946674346924,0.7721518987341772,train
0.5861296848594388,12,2.7012884616851807,0.759493670886076,train
0.5644475614062593,13,2.676254987716675,0.7746835443037975,train
0.5466897781608225,14,2.7204906940460205,0.7721518987341772,train
0.5391476092270658,15,2.702378988265991,0.7670886075949367,train
0.5321251553212163,16,2.735816478729248,0.7721518987341772,train
0.5145391071380316,17,2.6886377334594727,0.7848101265822784,train
0.5069940569044291,18,2.7102227210998535,0.789873417721519,train
0.4958791021021861,19,2.691406488418579,0.8151898734177215,train
0.485140554069341,20,2.7070565223693848,0.810126582278481,train
0.47471425643167164,21,2.7385900020599365,0.8177215189873418,train
0.47245805484678927,22,2.73898983001709,0.8126582278481013,train
0.45979988576867914,23,2.7352349758148193,0.8227848101265823,train
0.45161141961152795,24,2.715322971343994,0.830379746835443,train
0.4461008354738543,25,2.6996614933013916,0.8202531645569621,train
0.4384091277382796,26,2.735785484313965,0.8227848101265823,train
0.4215877976928708,27,2.7521047592163086,0.8329113924050633,train
0.41977807256287036,28,2.7360129356384277,0.8379746835443038,train
0.41801482283191965,29,2.724205255508423,0.8354430379746836,train
0.4091580796798196,30,2.721198081970215,0.8354430379746836,train
0.39374761576233785,31,2.738492012023926,0.8582278481012658,train
0.40334516278574173,32,2.73028302192688,0.8455696202531645,train
0.3837124882301292,33,2.713740587234497,0.8582278481012658,train
0.3680767936148693,34,2.773637294769287,0.8632911392405064,train
0.3645568279531796,35,2.760910749435425,0.8658227848101265,train
0.35652563114933483,36,2.71628475189209,0.8632911392405064,train
0.3573774430927337,37,2.6901094913482666,0.8481012658227848,train
0.34930159765755453,38,2.7298502922058105,0.8607594936708861,train
0.3317054111681454,39,2.7320775985717773,0.8658227848101265,train
0.32589381475626383,40,2.7508656978607178,0.8784810126582279,train
0.32740391018871173,41,2.7644381523132324,0.8759493670886076,train
0.3115653252341089,42,2.71757173538208,0.8708860759493671,train
0.31665879862701307,43,2.742877244949341,0.8835443037974684,train
0.296778027703573,44,2.7448513507843018,0.8835443037974684,train
0.30283480195735313,45,2.7407171726226807,0.8759493670886076,train
0.3011013954577237,46,2.7465877532958984,0.8759493670886076,train
0.29142137984317856,47,2.7472565174102783,0.8962025316455696,train
0.2801765187717149,48,2.7418506145477295,0.8860759493670886,train
0.2777288311501505,49,2.710953950881958,0.8962025316455696,train
0.26947125939407707,50,2.7414307594299316,0.8987341772151899,train
0.269306792338641,51,2.7161014080047607,0.8962025316455696,train
0.2598111435642784,52,2.7247262001037598,0.8936708860759494,train
0.24856347637192075,53,2.7243871688842773,0.9037974683544304,train
0.252933677262995,54,2.7344110012054443,0.9063291139240506,train
0.25740204190561267,55,2.7224533557891846,0.8936708860759494,train
0.23194800969327453,56,2.7224249839782715,0.9088607594936708,train
0.2273367519865455,57,2.7274904251098633,0.9088607594936708,train
0.2448942885687722,58,2.7432684898376465,0.9164556962025316,train
